Ethnic Origins,2016,2011,2006,2001,1996
Canadian,746960,728745,651635,861945,710755
English,732555,777110,804100,783770,891735
Chinese,700705,594735,537060,435685,359450
Indian,643370,572250,484655,345855,255685
Irish,544380,543600,531865,487215,480980
Scottish,543760,545365,561050,517115,534595
Italian,484360,475090,466155,429385,414310
Filipino,274675,246345,181330,140405,102525
German,271815,262830,259015,220140,224525
French,247790,249375,241395,220535,236315
Polish,237240,214455,207495,166695,161005
Portuguese,210420,196975,188110,171545,161685
Jamaican,200335,177305,160205,150840,133690
Ukrainian,144335,130350,122510,104485,95500
Russian,139910,118090,102815,62540,NA
Pakistani,122950,NA,NA,NA,NA
Sri Lankan,114400,104980,80610,NA,NA
British Isles origins (other),107900,104070,NA,NA,NA
Spanish,106685,105740,97255,65600,62520
Greek,99145,NA,90585,85375,80330
